series_id,title,url,category,thumbnailUrl,description,age_limit_detail,weekday,writer,illustrator,original_author
63045752,후원에 핀 제비꽃,https://page.kakao.com/content/63045752,"로판, 로맨스판타지, 오해물, 성장물, 피폐물, 신분차이, 왕족/귀족, 능력남, 냉정남, 무심남, 짝사랑남, 순정남, 짝사랑녀, 외유내강",//page-images.kakaoentcdn.com/download/resource?kid=bvbG09/hAJmPrPYnx/PA94dBu0sC4B9bpHBhYLH0&filename=o1,"사창가에서 자란 내가 세상을 구할 성녀라니,
애초에 불가능한 일이었다.
나는 들판에 핀 제비꽃과 같은 하찮은 존재였다.

천민이기에 경멸당했고,
성녀이기에 숭배받았다.

그러나 여기, 경멸도 숭배도 하지 않는 이가 있었다. 
얼어붙은 강철같은 남자는 고요한 시선으로 나를 보며 말했다.

“나는 널 도와주지 않을 것이다.”

말 그대로, 그는 날 도와주지 않았다. 
그러나 모든 것을 나와 함께했다.

“네 앞에서 죽겠다.”
 
심지어는 죽음까지도.

푸른 불꽃과도 같은 남자였다.
그저 그 색이 차가워 불꽃인지 몰랐을 뿐이었다.

그렇게, 기사는 제비꽃을 피웠다.",Fifteen,일,신사앵무,신사앵무,성혜림
63046544,폐후의 스캔들 [19세 완전판],https://page.kakao.com/content/63046544,"로판, 로맨스판타지, 궁정로맨스, 소유욕/독점욕, 능력녀, 동거물, 몸정>맘정, 상처남, 카리스마남, 절륜남, 걸크러쉬, 직진녀, 유혹녀, 계약관계, 운명, 배틀연애",//page-images.kakaoentcdn.com/download/resource?kid=bcub11/hAFrKuVh4N/XDvDDl9XP9eokWm0pepxi0&filename=o1,"
반역죄를 뒤집어쓰고 참수를 당한 폐후 루젠티아.
그녀는 예지몽으로 죽음을 가장해 도망치는 데 성공하고,
‘로제’라는 새로운 이름으로 상단을 만들어 부를 쌓아 올리지만, 
운명은 호락호락하지 않았다.

그녀는 살기 위해서 소드마스터 아이탄 공작을 찾아가 
자신의 후견인이 되어 달라고 하는데,
별안간 그녀에게‘애인’이 되어줄 것을 제안 하는‘칸’
검은 마녀라 불리던 폐후 로제의 섹시한 스캔들이 시작된다.",Nineteen,화,miso,배용춘,장유나
63056545,흑막과의 육아일기,https://page.kakao.com/content/63056545,"로판, 로맨스판타지, 육아물, 빙의물, 가족물, 왕족/귀족, 카리스마남, 다정남, 능력녀, 자상녀, 외유내강, 갑을관계, 달달물, 치유물, 힐링물",//page-images.kakaoentcdn.com/download/resource?kid=c5VpIj/hAL2b6wW8z/jCLuJfu2VXvMZKJ9dxfYH1&filename=o1,"눈을 떠보니 책 속의 유모 '마리'가 되어있었다.
그것도 자신이 돌보는 도련님, '브리엘'을 죽이는 역할로…!

""내가 떠나면 브리엘은 어떻게 되는 걸까.
설마 죽는 건….""

그래, 내가 이곳에 들어온 건 브리엘을 구하기 위해서인지도 몰라.

보육교사였던 지난 삶의 경력을 살려 브리엘도 살려냈고
나도 적응해 가고 있는데…자꾸만 브리엘의 삼촌이 신경 쓰인다?!
원작에선 흑막이었으면서 왜 이렇게 친절한 건데요.

""형님, 보고 싶습니다.
제가 잘 키우고 있는지 모르겠습니다.""

조카의 행복만을 바라는 삼촌, '켄트라일'과 함께하는 육아일기.
이 육아일기는 브리엘이 행복하게 자랐다는 걸로 끝날 수 있을까?

대체 누가
'마리'에게 브리엘을 죽이라고 시켰던 걸까?",All,화,여러,동쪽,봄볕의 기억
63056941,백작가 막내아들은 플레이어,https://page.kakao.com/content/63056941,"판타지, 게임, 회귀, 환생, 차원이동, 먼치킨, 성장, 시스템",//page-images.kakaoentcdn.com/download/resource?kid=tfkg2/hAd4mf70wS/uuxpLkBXgn45mPaTTwNAPK&filename=o1,"[클로즈베타 시스템을 활성화합니다. 현재 유저 수는 1입니다]
거대 길드의 음모로 목숨을 잃은 랭킹 1위 배도현, 베타서비스 중인 게임속 주인공으로 빙의하게 되는데!

게임 속 유력 가문의 막내아들 라울로 환생한 배도현.

""이번엔 내가 다 털어 먹어주마!""

랭킹 1위 플레이어에서 최강 NPC로 다시태어난 그의 이야기가 시작된다.",All,월,핀볼,Konsonan,미스틱J
63082643,데모나스,https://page.kakao.com/content/63082643,"로판, 복수물, 회귀물, 짝사랑, 첫사랑, 까칠남, 순정남, 연하남, 츤데레남, 능력녀, 자상녀, 걸크러쉬, 후회녀, 친구>연인, 드라마, 애잔물",//page-images.kakaoentcdn.com/download/resource?kid=eTw9a/hAd4AyEQbS/Ly26m69Q9i1x9Qhl6I875k&filename=o1,"전장 위를 누비는 고결한 기사,
‘알테어 체르노보그’.

황제의 명으로 전우이자 사랑했던
‘악마의 자식’ 아인 에스타로트를 죽이기 위해 전장에 나갔고,
결국 그녀는 아인에게 살해당한다.

""아인, 미안해. 이 손이 닿는 데까지 널
지켜주고 싶었어.""

기억의 파편을 지나 저승으로 가려는 그때,
눈을 떠보니 수년 전 돌아가신 아버지가 눈앞에 나타났다?!

거짓말처럼 어린 시절로 회귀한 알테어,
그리고 생각한다.

'평생을 인간에게 핍박받아온 아인을
유일하게 구원해낼 수 있는 기회.'

알테어는 아인을 지키기 위해 
가문의 원수 ‘에스타로트’ 공작에게 검술 수업을 받고,
비밀 도서관 잠입 / 아버지 설득하기 / 정보상과의 계약 등등…
필사적으로 노력한다.

""아인, 나는…
당신을 만나길 기다려 왔어요.

약속할게요, 이번 생에서는 꼭
당신을 지켜내겠다고.""

--------------------------------
*매주 월요일(일요일 22시) 연재됩니다*",All,월,유민,로에,알마
63087311,먼치킨 엑스트라,https://page.kakao.com/content/63087311,"로판, 로맨스판타지, 궁정로맨스, 먼치킨, 능력녀, 순정남, 집착남, 다정남, 대형견남, 다정녀, 빙의물, 능력남, 직진남, 짝사랑남, 달달물, 삼각관계",//page-images.kakaoentcdn.com/download/resource?kid=cA5qgP/hAJjL30uGn/DyKzAldvEb6LbvqB5HTc5k&filename=o1,"먼치킨 마력을 가진 엑스트라에 빙의했다.
그러나 슬프게도 이 엑스트라의 설정값은 구박데기 황녀 '라일라'.

""창조주급 마력을 가졌는데 
왜 황궁에서 학대 받으면서 살아야 해? 난 가출할래!""

황궁을 탈출한 라일라는 넘치는 마력으로 
즐겨보던 소설 속 최애 '피안'과 동료들을 도우며
행복한 나날을 마음껏 즐긴다.

하지만, 무한한 줄로만 알았던 마력은
점점 라일라의 심장을 멈추게 하는 독이 되어
피안과 동료들도 덩달아 위험에 처하게 되고...

라일라는 죄책감을 이기지 못하고
그들의 곁을 홀연히 떠나버리는데...",All,화,유리아,유리아,AliceW
63095659,도사 아카데미 무위관,https://page.kakao.com/content/63095659,"드라마, 학원물, 동양풍, 성장물, 신령, 학생",//page-images.kakaoentcdn.com/download/resource?kid=xFN2e/hAd4Eudud2/ESfDVXWF1Sxalc4kiQlnlk&filename=o1,"영국에 마법사 학교 호그와트가 있다면 대한민국에는 도사 아카데미 무위관이 있다. 

반강제로 무위관에 입학하게 된 평범한 여고생 정태미
입시생으로서의 일상도, 도사가 되기 위한 수행도 포기할 수 없는 욕심쟁이 그녀의 
좌충우돌 성장기가 시작된다. 

딱히 지구를 지키겠다는 거창한 사명이 있는 것도 아니고
도술을 배워 도사가 되고 싶은 것도 아니지만 

조금 더 경험해보는 것도 좋겠지
무위관이 보여줄 세계도, 이곳에서의 인연도

일단은 킵 고잉!",All,토,키드원,찌마,
63102436,던전 안의 살림꾼,https://page.kakao.com/content/63102436,"로판, 로맨스판타지, 여주판타지, 다정남, 소유욕/독점욕, 순정남, 능력남, 집착남, 존댓말남, 대형견남, 직진남, 외유내강, 평범녀, 쌍방삽질, 로맨틱코미디, 철벽녀",//page-images.kakaoentcdn.com/download/resource?kid=IG8P0/hAMhpQ3s9o/1KRGlcANdNOWVCEjGwKaw1&filename=o1,"대한민국의 평범한 직장인 이희나. 25세.
오늘도 평범하게 야근 삼매경... 인 줄 알았는데.
갑자기 각성했다.
그리고 갑자기 던전에 떨어졌다.

""하느님부처님알라신님! 제발 헌터, 전투계로 각성하게 해주세요!
이왕이면 쎈 걸로!!""

간절한 바람에 시스템이 응답했다.

[축하합니다!]
[히든 클래스 '살림꾼'(D)으로 각성했습니다!]

희나의 스킬은 나물 뜯기(C), 해충 박멸(D), 이 맛이 바로 손맛(D)
실생활엔 매우 유용하지만, 과연 이걸로 살아남을 수 있는 거야?!

하지만 웬걸?
대한민국 랭킹 1위, S급 헌터 강진현이 플러팅을 시전한다.

""저의 모든 것을 당신께 맡기겠습니다.""
""강진현 헌터님...""
""네. 저를 책임져주시겠습니까?""
""가사도우미가 되어달라는 말을 왜 그렇게 이상하게 하세요!""

소소하고 평범하게 사는 게 꿈이었던 희나의 일상은 괜찮은 것인가?!
말하는 달팽이, 움직이는 반려식물과 함께하는♥
유쾌한 로맨스판타지 <던전 안의 살림꾼>!",All,일,들깨,NARAK,황금송
63104007,파혼한 영애는 엔딩 외엔 집착하지 않는다,https://page.kakao.com/content/63104007,"로판, 로맨스판타지, 가족후회물, 빙의물, 하렘물, 역하렘, 까칠남, 상처남, 츤데레남, 능력녀, 외유내강, 걸크러쉬, 계약관계, 갑을관계, 후회남, 사이다녀",//page-images.kakaoentcdn.com/download/resource?kid=GkYxb/dJMb89dBwV1/kudJQdj3vBSmFQfMpOPdj1&filename=o1,"게임 속으로 들어온 지 3년. 엔딩을 맞지 못해 리셋되고 말았다.
그런데 하필 돌아온 시점이 망할 남주 중 한 명에게 파혼당하는 순간이 뭐람…!
구질구질하게 매달릴 생각, 정말 없다고!

“더는 실패하지 않아.”

주변에 휘둘리던 한심했던 모습을 벗어 던지고, 앞으로 나아가기로 했다.
두 번째 삶을 비틀기로 하자 게임 속 남주들이 그녀에게 관심을 보이기 시작했다.

게다가 필요에 의해 원작에서 목숨을 잃었던 캐릭터를 살려주자, 그마저 세르델에게 집착하기 시작하는데…! 

“저를 버리지 마세요, 아가씨.”

과연 세르델은 무사히 엔딩을 맞아, 게임에서 벗어날 수 있을까?",All,목,"금맛, 서각, 연",문소,뽀짝햄스터
63114428,마침내 새벽이,https://page.kakao.com/content/63114428,"로판, 로맨스판타지, 재회물, 운명, 순정남, 엉뚱발랄녀, 기억상실, 신분차이, 계약관계, 능력녀, 치유물, 빙의물",//page-images.kakaoentcdn.com/download/resource?kid=mu5Fs/hAd4N5Ti9p/ERt9qkRPIkKk4AJloXizB0&filename=o1,"8년 만에 영웅이 되어 조국으로 귀환한 에르트 공작.
영광과 명예를 거며쥐었으나 그가 바라는 것은 아무도 기억하지 못하는 아내,
마지막 순간까지 자신을 지키기 위해 몸을 던졌던 '리제'를 위한 복수뿐이다.
 
“나를 도와주지 않겠나.”

 복수를 위해서는 여자가 필요하다.
 그가 '성인'임을 증명해주고, 콧대 높은 귀족들의 자존심을 짓밟아 줄 여자.
 그런 의미에서 그녀는 적격이었다.

“내 여자가 되어 다오.”
 
고향을 잃고 떠도는 피난민, 홀로 딸까지 키우는 여자.
그리고, 아내와 닮은 구석이라곤 오로지 '리제'라는 이름 뿐인.

하지만 그녀와 함께 하는 시간이 길어질수록 
젊은 공작은 닮은 것이 이름 뿐만이 아님을 깨닫고
내내 부정하던, 한 가지 가능성을 떠올린다.

실은 그녀가 자신의 아내일지도 모른다는 사실을. ",Fifteen,금,월귤,비앤,유가현
63126910,이번 생은 아역부터,https://page.kakao.com/content/63126910,"드라마, 일상물, 힐링물, 회귀/타임슬립, 성장물, 전문직, 일상, 가족, 배우, 귀여운, 노블코믹, 사랑스러운, 고퀄리티, 두근거리는",//page-images.kakaoentcdn.com/download/resource?kid=dCAiu/hAd49gFKEL/dh2NeEZhdO4FKyFWmjH2Ak&filename=o1,"뭘 해도 망하던 망돌 인생 4년 차 강수현.
겨우 찾은 배우로서의 적성으로 드디어 빛을 보나 싶었지만,
반대편에서 오는 트럭과 충돌하여 죽음의 문턱이 다가와 절망하는데...

“아니 잠깐, 나 안 죽었잖아?”

정신을 차려보니 거울에 비친 모습은 최고로 귀여웠던 5살 때의 나?

그래, 이번 생은 아역부터 시작하는 거야!

배우 강수현의 연기가 시작된다.",All,금,멘탈가루몬,얼그레이몬,마늘소금
63127042,류나,https://page.kakao.com/content/63127042,"드라마, 초월적존재, 판타지물, 성장물, 친구, 가수, 취업준비생, 여주중심",//page-images.kakaoentcdn.com/download/resource?kid=b9ay4n/hzXap1MLJB/jlN7OiJkrnzzk6Pqi2pIk0&filename=o1,"인간에서 피를 마시는 불사의 존재로
새롭게 다시 태어나는 신비의 종족 [류나]

그들은 류나만의 커뮤니티를 구축하고
전 세계에 점처럼 흩어져 정체를 숨긴 채
인간들과 함께 공존하고 있다.

현재. 대한민국 서울,
도심 속에 섞여 살아가고 있는 류나 중 한 명인 ‘신류호’

그녀는 과거 ‘서이현’이라는 이름의 인간 여자로서
현재의 삶에 더 이상 아무 기대가 없다고 생각했던
그 순간 류나로 다시 태어나게 된다.

하지만 연예계의 신예 스타 ‘휘나’는 과거 인간이었던
‘서이현’을 아직도 계속 찾아 헤매고 있는데…

소중한 사람이 불행해지는 세계는 과연 의미가 있을까?
그런 세계에서 나는 아무렇지도 않은 듯
불멸의 삶을 살아갈 수 있을까?

자신의 존망과 소중한 누군가의 운명을
손에 쥔 필사의 드라마가 지금, 시작된다.",Fifteen,금,박시인,이준,
