titleId,titleName,url,thumbnailUrl,adult,finish,Writer,Painter,Original,synopsis,genre,day
840184,축살,https://comic.naver.com/webtoon/list?titleId=840184&tab=tue,https://image-comic.pstatic.net/webtoon/840184/thumbnail/thumbnail_IMAG21_fdece33a-2eb2-4e1d-b899-850cf9a62964.jpg,True,False,장성준,장성준,,"귀신이 나온다는 이유로 아무도 찾지 않는 버려진 마을이 된 타악리...
그곳을 미스테리X파일 제작팀이 관심을 갖고 찾아간다. 그러나 기다리는 것은 당시 사건으로 죽은 귀신과, 염매라는 사악한 주술을 통해 살아 있는 악귀가 되어있는 남도철이었다. 그들을 보게 된 취재팀은 서둘러 마을을 떠나려하지만 남도철은 취재팀을 곱게 보내 줄 생각이 없다. 도망치려는 취재팀과 그들을 잡으려는 남도철과 청송!! 그리고 밝혀지는 50여년 전의 진실!","THRILL, 공포, 미스터리, 성인웹툰, 스릴러",화
829743,아포칼립스에 물류센터를 숨김,https://comic.naver.com/webtoon/list?titleId=829743&tab=tue,https://image-comic.pstatic.net/webtoon/829743/thumbnail/thumbnail_IMAG21_881646ef-f9e4-494c-b0b1-7b534ee77d99.jpg,False,False,왕재덕,성구,구채,"세상은 망했어도 물류센터는 돌아간다.
내 아공간 속에서.","FANTASY, 먼치킨, 사이다, 상태창, 소설원작, 아포칼립스, 액션, 액션판타지, 이능력, 인외존재, 판타지, 현대, 현대판타지",화
838991,레벨999 고블린,https://comic.naver.com/webtoon/list?titleId=838991&tab=tue,https://image-comic.pstatic.net/webtoon/838991/thumbnail/thumbnail_IMAG21_3e120b7a-ee69-4dbb-9c4d-a6ef4f151524.jpg,False,False,다피,곰곰,,현실에서도 노가다! 게임에서도 노가다로 생계를 유지하는 주인공 김철수. 드디어 히든 클래스에 전직할 기회를 얻으면서 인생 한방!을 노리는데…! 히든 클래스는 고작 고블린 소환사…?,"ACTION, 개그, 게임, 게임판타지, 병맛, 액션, 판타지",화
833243,전리품 공작부인,https://comic.naver.com/webtoon/list?titleId=833243&tab=tue,https://image-comic.pstatic.net/webtoon/833243/thumbnail/thumbnail_IMAG21_ea781ae5-07d1-478b-b9d0-86ebbfc4d9ea.jpg,False,False,새들,초밤비,레몬개구리,"제국에서 독립하고자 반란을 일으킨 랭카스터 공작가,
황제의 충실한 기사였던 라슬로 크리서스의 손에 무너지고,
비참하게 잡혀 온 것은 젊고 아름다운 랭카스터 공작 부인, 이델 랭카스터였다.

‘전리품’으로서 귀족들 앞에 놓여진 그녀를
황제는 하녀가 필요하다고 하는 라슬로 크리서스에게 하사한다.

라슬로의 ‘소유물’이 된 이델은 치욕스러운 짓을 당하기 전에 목숨을 끊자고 마음먹지만,
라슬로는 그녀에게 '진짜' 하녀로 고용했다며 일을 지시한다.

그러나 완벽한 공작부인이었던 그녀의 눈에 크리서스 백작가는 너무나 허술한데…
'공작부인'의 경력을 가진 신입 하녀 이델은 크리서스 백작가를 조금씩 변화시켜 나간다.","PURE, 능력녀, 로맨스, 서양, 소설원작, 왕족/귀족",화
828920,청춘 러브썸,https://comic.naver.com/webtoon/list?titleId=828920&tab=tue,https://image-comic.pstatic.net/webtoon/828920/thumbnail/thumbnail_IMAG21_19ce0f7d-7134-403a-bbc5-4f939cd8927f.jpg,False,False,홍덕,NEMONE,,"""푸르진 않지만 나름 괜찮아.""
전작 청춘블라썸 에필로그로부터 1년 뒤,
원장 쌤이 새로 오픈한 '카페블라썸 앤 네모네화실'을 중심으로
보미의 대학 동기 '푸름'과 함께 다시 시작되는 청춘들의 이야기.
캠퍼스 로맨스, 학원 로맨스, 직장인 로맨스 등 없는 게 없다.
유쾌한 이야기로 다시 찾아온 청춘 시리즈!","PURE, 감성적인, 다정남, 러블리, 로맨스, 로맨틱코미디, 리얼로맨스, 설렘폭발, 소심녀, 우정, 청춘, 청춘로맨스, 캠퍼스, 캠퍼스로맨스",화
814356,성검전설,https://comic.naver.com/webtoon/list?titleId=814356&tab=tue,https://image-comic.pstatic.net/webtoon/814356/thumbnail/thumbnail_IMAG21_6dbfab75-a168-40d6-8347-93e752c3b2ed.jpg,False,False,최다킬,최다킬,,"마왕을 쓰러뜨릴 단 하나의 무구.
성검.
을 잃어버린 용사...
성검을 되찾을 때까지 용사는 찾고 또 찾는다.
10년, 20년, 30년... 용의 둥지부터 정령왕의 은신처까지
용사는 오늘도 성검을 찾는다.
성검을 잃어버린 용사는
쥰내 쪽팔리니까.","COMIC, 2022 지상최대공모전, 개그, 고인물, 다크히어로, 먼치킨, 모험, 병맛, 사이다, 용사, 인외존재, 중년, 중세, 크리처, 판타지개그",화
830106,백작가의 비밀스런 시녀님,https://comic.naver.com/webtoon/list?titleId=830106&tab=tue,https://image-comic.pstatic.net/webtoon/830106/thumbnail/thumbnail_IMAG21_c2616743-6c0a-47d9-af22-bc8dfe5c7b5b.jpg,False,False,MIDNIGHT STUDIO,MIDNIGHT STUDIO,백주아,"가난한 집에서 태어난, 끔찍하게 못생긴 계집아이 '폴라'.
우연한 계기로 명망 높은 벨루니타 백작가의 사용인으로 고용된다.

그런데, 모셔야 할 주인님 '빈센트 벨루니타'는

시력을 잃은 후 공포에 떨며 방에 틀어박혀 있기만 한데….

 

그가 다시 세상으로 나올 수 있을 때까지,

폴라는 오직 혼자서 그를 시중 들어야 한다.

아주 비밀스럽게.","PURE, 구원서사, 로맨스, 로판, 사연남, 서양, 소설원작, 왕족/귀족, 외유내강녀, 평범녀",화
842815,오늘도 퇴근,https://comic.naver.com/webtoon/list?titleId=842815&tab=tue,https://image-comic.pstatic.net/webtoon/842815/thumbnail/thumbnail_IMAG21_07e2f141-9d1c-41fd-803e-552949c85891.jpg,False,False,백초,물속,파셔,"한국 굴지의 대기업 소야그룹 ESG팀의 팀장 이민수.
그는 오늘도 칼퇴근을 목표로 묵묵히 일을 한다.
어느 날, 회장의 막내딸 강채은이 팀원으로 들어오게 되면서
회사 정치에 엮여 사내 빌런들과 부딪치며 다양한 사건을 겪게 되는데…
이민수는 과연 칼퇴근을 할 수 있을까?","DRAMA, 드라마, 소설원작, 오피스, 현대",화
844353,너는 이대로 닿은 적도 없이,https://comic.naver.com/webtoon/list?titleId=844353&tab=tue,https://image-comic.pstatic.net/webtoon/844353/thumbnail/thumbnail_IMAG21_f855b72b-4bab-453b-8db0-73ae90aaa90f.jpg,False,False,치자,치자,,"길 잃은 영가들의 천도를 위해 기도를 올려온 지 500년.
그런 '무진'의 앞에 300년 전 죽은 연인, '금지'가 환생해 나타났다.
하지만 그녀는 현생에서도 이미 죽은 망자.
자신이 죽은 줄도 모른 채, '무진'에게로 돌아왔다.","PURE, 동양풍판타지, 로맨스, 시대물, 인외존재, 현대",화
809618,신과함께 돌아온 기사왕님,https://comic.naver.com/webtoon/list?titleId=809618&tab=tue,https://image-comic.pstatic.net/webtoon/809618/thumbnail/thumbnail_IMAG21_df87e004-a86e-46d0-9749-aa338e9363ac.jpg,False,False,지대공마법소년,전천후마검사,사람살려.,"이세계에서 300년동안 악마사냥을 하다 지구로 귀환했다.
하지만 나 혼자 오진 않았다.","FANTASY, 먼치킨, 사이다, 소설원작, 용사, 이세계, 인외존재, 크리처, 판타지, 헌터물, 현대, 현대판타지, 회귀",화
